domain,timestamp,resource,response_code,response_length
farmall.usask.ca,[02/Jun/1995:13:47:35-0600],/images/logo.gif ,304,0.0
cirrus.usask.ca,[02/Jun/1995:13:54:17-0600],/search/index.shtml ,200,1107.0
jcurro.tiac.net,[02/Jun/1995:13:58:52-0600],/cgi-bin/hytelnet?file=SITES1A ,200,489.0
morning_light.usask.ca,[02/Jun/1995:14:04:05-0600],/ ,200,3384.0
atc.boeing.com,[02/Jun/1995:14:08:12-0600],/~macphed/finite/fe_resources/node108.html,200,2507.0
142.3.96.34,[02/Jun/1995:14:11:12-0600],/~lowey/Saskatchewan/icons/flag.gif,200,227.0
mercury.cair.du.edu,[02/Jun/1995:14:14:11-0600],/~scottp/index.html,200,2225.0
lib200a.cfw.ndsu.nodak.edu,[02/Jun/1995:14:16:19-0600],/~lowey/Saskatchewan/icons/flag.gif,200,227.0
charly.publib.saskatoon.sk.ca,[02/Jun/1995:14:18:57-0600],/ ,200,3384.0
clipsie.ee.queensu.ca,[02/Jun/1995:14:21:18-0600],/cgi-bin/pursuit-beta?7614 ,200,2567.0
doing.srlf.ucla.edu,[02/Jun/1995:14:26:12-0600],/~turner/logo.GIF,200,6761.0
bloor.torfree.net,[02/Jun/1995:14:31:57-0600],/~scottp/free.html,200,5924.0
acy1.digex.net,[02/Jun/1995:14:38:40-0600],/~keele/images/whitebal.gif,200,203.0
duke.usask.ca,[02/Jun/1995:14:46:00-0600],/~dougallg/monalisa.gif,200,684.0
slipper124175.iaccess.za,[02/Jun/1995:14:51:08-0600],/~lowey/Saskatoon/icons/letter.gif,200,149.0
lib74120.usask.ca,[02/Jun/1995:14:58:11-0600],/images/letter_32.gif ,200,149.0
mcmahon.wharton.upenn.edu,[02/Jun/1995:15:01:15-0600],/images/letter_32.gif ,200,149.0
duke.usask.ca,[02/Jun/1995:15:07:39-0600],/ ,200,3384.0
198.52.0.177,[02/Jun/1995:15:13:16-0600],/~keele/images/karate/zen_zuki.gif,200,28782.0
cst8210.usask.ca,[02/Jun/1995:15:19:15-0600],/chemistry/cassidy.htm ,200,1853.0
dev92019.usask.ca,[02/Jun/1995:15:22:53-0600],/images/logo.gif ,304,0.0
vernon-11.junction.net,[02/Jun/1995:15:30:07-0600],/~lowey/Saskatoon/,200,1503.0
skt-as011.cycor.ca,[02/Jun/1995:15:35:13-0600],/~lowey/icons/kevhead.gif,200,1783.0
lib444.usask.ca,[02/Jun/1995:15:39:37-0600],/~ladd/may95.html,200,29084.0
www-c7.proxy.aol.com,[02/Jun/1995:15:46:55-0600],/search/index.shtml ,200,1107.0
disarray.demon.co.uk,[02/Jun/1995:15:52:54-0600],/~lowey/webville/help/about_webville.html,200,1459.0
elk.usask.ca,[02/Jun/1995:15:59:16-0600],/images/uofs_sign.gif ,200,53968.0
193.114.233.102,[02/Jun/1995:16:06:49-0600],/ ,200,3384.0
queen.torfree.net,[02/Jun/1995:16:14:12-0600],/~scottp/civic,200,6181.0
sparkle.usask.ca,[02/Jun/1995:16:19:38-0600],/images/logo.gif ,304,0.0
